user_id,product_id,viewed,clicked,purchased,rating,implicit_strength,positive
1,31,1.0,0.0,0.0,0.0,0.15,0
1,92,0.0,0.0,0.0,5.0,0.55,1
1,95,1.0,1.0,0.0,0.0,0.5,1
1,126,0.0,0.0,1.0,0.0,0.8,1
1,169,0.0,0.0,0.0,4.0,0.44000000000000006,1
1,188,0.0,0.0,0.0,1.0,0.11000000000000001,0
1,211,0.0,1.0,1.0,0.0,1.15,1
1,254,0.0,0.0,0.0,5.0,0.55,1
1,284,0.0,0.0,0.0,2.0,0.22000000000000003,0
1,297,1.0,1.0,1.0,0.0,1.3,1
1,328,1.0,0.0,0.0,0.0,0.15,0
1,347,1.0,0.0,0.0,0.0,0.15,0
1,393,1.0,1.0,1.0,0.0,1.3,1
1,450,1.0,1.0,0.0,0.0,0.5,1
2,48,0.0,0.0,0.0,0.0,0.0,0
2,87,1.0,0.0,0.0,0.0,0.15,0
2,120,1.0,0.0,0.0,0.0,0.15,0
2,137,0.0,0.0,1.0,0.0,0.8,1
2,153,1.0,1.0,1.0,0.0,1.3,1
2,154,1.0,0.0,0.0,0.0,0.15,0
2,159,1.0,0.0,1.0,0.0,0.9500000000000001,1
2,190,1.0,0.0,0.0,0.0,0.15,0
2,199,1.0,0.0,0.0,0.0,0.15,0
2,206,1.0,0.0,0.0,0.0,0.15,0
2,275,0.0,0.0,0.0,3.0,0.33,0
2,303,1.0,0.0,1.0,0.0,0.9500000000000001,1
2,317,1.0,1.0,0.0,0.0,0.5,1
2,330,0.0,1.0,0.0,0.0,0.35,1
2,431,0.0,0.0,0.0,2.0,0.22000000000000003,0
2,434,0.0,0.0,0.0,5.0,0.55,1
2,448,0.0,0.0,0.0,2.0,0.22000000000000003,0
2,456,1.0,1.0,1.0,0.0,1.3,1
2,458,1.0,0.0,1.0,0.0,0.9500000000000001,1
2,491,1.0,0.0,1.0,0.0,0.9500000000000001,1
2,497,0.0,0.0,0.0,5.0,0.55,1
2,498,1.0,1.0,0.0,0.0,0.5,1
3,37,0.0,0.0,0.0,0.0,0.0,0
3,75,0.0,0.0,0.0,4.0,0.44000000000000006,1
3,93,1.0,1.0,0.0,0.0,0.5,1
3,108,1.0,1.0,0.0,0.0,0.5,1
3,133,0.0,0.0,0.0,2.0,0.22000000000000003,0
3,170,1.0,1.0,1.0,0.0,1.3,1
3,189,1.0,1.0,0.0,0.0,0.5,1
3,211,0.0,0.0,0.0,5.0,0.55,1
3,213,0.0,0.0,0.0,2.0,0.22000000000000003,0
3,240,0.0,0.0,0.0,5.0,0.55,1
3,287,1.0,0.0,0.0,0.0,0.15,0
3,296,1.0,1.0,0.0,0.0,0.5,1
3,300,1.0,1.0,0.0,0.0,0.5,1
3,304,0.0,0.0,0.0,1.0,0.11000000000000001,0
3,306,1.0,0.0,0.0,0.0,0.15,0
3,332,0.0,1.0,0.0,0.0,0.35,1
3,348,1.0,1.0,0.0,0.0,0.5,1
3,396,0.0,1.0,0.0,0.0,0.35,1
3,430,0.0,0.0,0.0,2.0,0.22000000000000003,0
3,460,0.0,0.0,0.0,3.0,0.33,0
3,498,0.0,1.0,1.0,0.0,1.15,1
4,5,1.0,0.0,0.0,0.0,0.15,0
4,13,0.0,0.0,0.0,1.0,0.11000000000000001,0
4,21,0.0,0.0,0.0,0.0,0.0,0
4,28,1.0,0.0,0.0,0.0,0.15,0
4,33,0.0,0.0,0.0,2.0,0.22000000000000003,0
4,289,1.0,1.0,1.0,0.0,1.3,1
4,393,0.0,0.0,0.0,0.0,0.0,0
4,446,1.0,1.0,0.0,0.0,0.5,1
4,453,0.0,0.0,0.0,3.0,0.33,0
4,481,0.0,0.0,0.0,0.0,0.0,0
5,42,1.0,1.0,1.0,0.0,1.3,1
5,173,1.0,1.0,1.0,0.0,1.3,1
5,210,1.0,1.0,0.0,0.0,0.5,1
5,215,0.0,0.0,0.0,2.0,0.22000000000000003,0
5,252,1.0,0.0,1.0,0.0,0.9500000000000001,1
5,276,0.0,0.0,0.0,2.0,0.22000000000000003,0
5,282,1.0,1.0,1.0,0.0,1.3,1
5,306,0.0,1.0,1.0,0.0,1.15,1
5,307,1.0,0.0,0.0,0.0,0.15,0
5,422,0.0,1.0,0.0,0.0,0.35,1
5,442,1.0,0.0,0.0,0.0,0.15,0
5,476,1.0,1.0,0.0,0.0,0.5,1
6,1,1.0,1.0,1.0,0.0,1.3,1
6,48,1.0,0.0,1.0,0.0,0.9500000000000001,1
6,83,1.0,0.0,0.0,0.0,0.15,0
6,107,0.0,0.0,0.0,0.0,0.0,0
