user_id,rank,product_id,category,price,hybrid_score,latent_score,category_score,price_score,popularity_score,reason,hybrid_score_display
1,1,415,Sports,1550.0,0.5685434822185618,0.6047805255679843,0.1397712833545108,0.9872645535545381,0.6204458944741466,ملاءمة جيدة مع نمط السعر,0.569
1,2,250,Home Appliances,1181.0,0.5633875239903036,0.5534965421197058,0.3392630241423126,0.8258053552601463,0.7112561174164624,تطابق قوي مع الفئات المفضلة، ملاءمة جيدة مع نمط السعر,0.563
1,3,107,Clothes,235.0,0.5555187122395848,0.74271946726545,0.0,0.3465753653921013,0.6829798803326276,إشارة سلوكية/تقييمية قوية,0.556
1,4,174,Perfumes,1623.0,0.5273810652320202,0.5174245210146311,0.2477763659466328,0.9502838038078496,0.5829255029590579,تطابق قوي مع الفئات المفضلة، ملاءمة جيدة مع نمط السعر,0.527
1,5,50,Toys,1594.0,0.5186388318075505,0.5810294348956323,0.03811944091486658,0.9649747865839313,0.47362697115423447,ملاءمة جيدة مع نمط السعر,0.519
1,6,210,Electronics,918.0,0.5054748934394743,0.4796251686042007,0.23506988564167727,0.6925733390494742,0.9227841217551503,تطابق قوي مع الفئات المفضلة,0.505
1,7,226,Home Appliances,995.0,0.5033868184594641,0.4925506102351364,0.3392630241423126,0.731580431248036,0.5899945622300166,تطابق قوي مع الفئات المفضلة,0.503
1,8,257,Home Appliances,927.0,0.5019352905449921,0.49235356968258615,0.3392630241423126,0.6971326095661892,0.6179989124188147,تطابق قوي مع الفئات المفضلة,0.502
1,9,338,Perfumes,1241.0,0.45471200214199464,0.4509245193983641,0.2477763659466328,0.8562004920382464,0.36813485587992745,تطابق قوي مع الفئات المفضلة، ملاءمة جيدة مع نمط السعر,0.455
1,10,73,Books,1876.0,0.4517094567296199,0.5241696296102797,0.0,0.8221176437268609,0.38553561716228735,ملاءمة جيدة مع نمط السعر,0.452
2,1,292,Sports,228.0,0.5958571073517018,0.6587126047575939,0.12985865724381626,0.6437915516558024,0.9999999999456226,توازن جيد بين التفضيلات والانتشار,0.596
2,2,343,Electronics,1504.0,0.5803822552774961,0.615416572165148,0.1943462897526502,0.709805206196602,0.9097335507933806,تطابق قوي مع الفئات المفضلة,0.58
2,3,483,Perfumes,563.0,0.5709578386402712,0.6661852327071038,0.0,0.8134977320001946,0.7362697117598549,ملاءمة جيدة مع نمط السعر,0.571
2,4,307,Books,661.0,0.5627512839607968,0.602007370506021,0.0971731448763251,0.8631431220710915,0.804785209309147,ملاءمة جيدة مع نمط السعر,0.563
2,5,480,Home Appliances,568.0,0.555052856849713,0.5308536794605778,0.3710247349823322,0.8160306600650363,0.718325176687421,تطابق قوي مع الفئات المفضلة، ملاءمة جيدة مع نمط السعر,0.555
2,6,219,Toys,68.0,0.5534081987374654,0.6828887412306012,0.01943462897526502,0.5627378535808687,0.7264817835385274,توازن جيد بين التفضيلات والانتشار,0.553
2,7,400,Toys,834.0,0.5402625600051852,0.5463031807466915,0.01943462897526502,0.9507824331146134,0.9488852636786904,ملاءمة جيدة مع نمط السعر,0.54
2,8,282,Home Appliances,339.0,0.5382487531046575,0.5090102155371243,0.3710247349823322,0.7000225546952876,0.8205546492212858,تطابق قوي مع الفئات المفضلة,0.538
2,9,250,Home Appliances,1181.0,0.5171527509763276,0.4573846730593611,0.3710247349823322,0.8734323591853743,0.7112561174164624,تطابق قوي مع الفئات المفضلة، ملاءمة جيدة مع نمط السعر,0.517
2,10,355,Home Appliances,596.0,0.5132157945442493,0.48792403441120163,0.3710247349823322,0.8302150572281497,0.5405111473333055,تطابق قوي مع الفئات المفضلة، ملاءمة جيدة مع نمط السعر,0.513
3,1,490,Clothes,879.0,0.6681424847007911,0.7800307427910723,0.06490649064906491,0.8811073103258243,0.8270799347021707,ملاءمة جيدة مع نمط السعر، إشارة سلوكية/تقييمية قوية,0.668
3,2,415,Sports,1550.0,0.6659073933747784,0.8506432578711219,0.0,0.7789737433724228,0.6204458944741466,ملاءمة جيدة مع نمط السعر، إشارة سلوكية/تقييمية قوية,0.666
3,3,375,Home Appliances,334.0,0.5962311098503353,0.6660157007557832,0.30473047304730466,0.6050181512580818,0.6916802609738075,تطابق قوي مع الفئات المفضلة,0.596
3,4,145,Toys,1020.0,0.5908162815056178,0.6245609686571401,0.1177117711771177,0.9525358817543597,0.8058727568892946,ملاءمة جيدة مع نمط السعر,0.591
3,5,303,Home Appliances,1951.0,0.5640796171127969,0.6139167369431546,0.30473047304730466,0.5758329125721204,0.7177814028973474,تطابق قوي مع الفئات المفضلة,0.564
3,6,400,Toys,834.0,0.563672012749735,0.5743300877348582,0.1177117711771177,0.8583109577422493,0.9488852636786904,ملاءمة جيدة مع نمط السعر,0.564
3,7,298,Toys,356.0,0.557337265111454,0.6722887634073118,0.1177117711771177,0.6161630347433851,0.5883632408597953,توازن جيد بين التفضيلات والانتشار,0.557
3,8,119,Sports,1079.0,0.5542636613854496,0.6245146360679127,0.0,0.9824244329194913,0.6166394779436303,ملاءمة جيدة مع نمط السعر,0.554
3,9,355,Home Appliances,596.0,0.5471803805058193,0.582914251335466,0.30473047304730466,0.7377435818557856,0.5405111473333055,تطابق قوي مع الفئات المفضلة,0.547
3,10,349,Electronics,1312.0,0.5397941625867203,0.5735911127213221,0.0715071507150715,0.8995411192588866,0.7482327351414773,ملاءمة جيدة مع نمط السعر,0.54
4,1,282,Home Appliances,339.0,0.7583831559255313,0.9999999936469571,0.0,0.6360641234602376,0.8205546492212858,إشارة سلوكية/تقييمية قوية,0.758
4,2,456,Home Appliances,552.0,0.6169655043453468,0.7302165633958356,0.0,0.7439668590224929,0.8955954322514629,إشارة سلوكية/تقييمية قوية,0.617
4,3,41,Toys,1574.0,0.6080375014058992,0.6456743883499567,0.4710144927536232,0.7383026445238686,0.472539423574087,تطابق قوي مع الفئات المفضلة,0.608
4,4,329,Clothes,673.0,0.5862593259461901,0.6132610654465456,0.2608695652173913,0.8052637181916614,0.7471451875613297,تطابق قوي مع الفئات المفضلة، ملاءمة جيدة مع نمط السعر,0.586
4,5,315,Books,1540.0,0.5707717591194841,0.6936077929142194,0.039855072463768126,0.7555265553647921,0.5676998368369929,ملاءمة جيدة مع نمط السعر,0.571
4,6,145,Toys,1020.0,0.567795830828792,0.47450012556201604,0.4710144927536232,0.9810489258916737,0.8058727568892946,تطابق قوي مع الفئات المفضلة، ملاءمة جيدة مع نمط السعر,0.568
4,7,350,Sports,1130.0,0.5572789210503255,0.5737741359157561,0.17391304347826086,0.9632266566818094,0.6612289287296776,ملاءمة جيدة مع نمط السعر,0.557
4,8,96,Toys,998.0,0.5515460996165455,0.468497041627889,0.4710144927536232,0.9699040424063704,0.6927678085539549,تطابق قوي مع الفئات المفضلة، ملاءمة جيدة مع نمط السعر,0.552
